contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_19408	40764	NA	39592.08809075735	100.0	low	28.6097154000585	15	CheckV-058090	26.3	9.47	54.24390820392248	91.86306089271545	11	1.0
contig_19543	17176	NA	37759.596168017684	45.487774613829274	low	27.4427620025844	10	CheckV-041359	33.3	3.36	NA	NA	0	1.01
contig_19700	20557	NA	6508.396454061402	100.0	low	12.0387100725814	122	CheckV-006001	33.1	19.56	39.956807228915665	100.0	2	1.04
contig_19821	29055	NA	52109.20858862829	55.75789920236983	low	31.6107195198548	5	CheckV-017249	25.4	5.21	29.404142233312538	89.0716593886463	3	1.01
contig_19968	9009	NA	72136.1282754418	12.488887628679464	low	17.7188662440404	2	CheckV-000253	31.9	23.88	NA	NA	0	1.0
contig_1999	18743	NA	75272.6890308183	24.900133423327286	low	27.441312952095	18	CheckV-032684	24.6	11.65	20.196951460124666	60.859717299019906	4	1.15
contig_19998	6594	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.05
contig_2011	20690	NA	41844.10531045561	49.4454352566362	low	17.6215217642305	44	CheckV-043490	44.6	9.68	31.454229635919045	58.804303018582935	4	1.0
contig_2012	109821	NA	117276.25708587974	93.64299537593499	low	34.0128276133136	204	CheckV-001965	47.7	3.01	93.52532671680112	99.99999999999999	16	1.04
contig_20836	18987	NA	48169.06624651021	39.41741345541566	low	22.2765314016457	42	CheckV-040958	27.0	17.56	19.324058744993327	54.60392523364486	2	1.0
contig_20994	10148	NA	8661.695325569952	100.0	low	32.8609121902687	11	CheckV-005978	26.6	10.53	94.61	100.0	1	1.0
contig_21079	49110	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.34
contig_21105	11158	NA	7731.951525590552	100.0	low	22.555739773824	3	CheckV-006095	27.6	21.8	100.0	100.0	1	1.0
contig_21139	12388	NA	80353.0	15.416972608365587	low	28.292853557284	1	CheckV-000450	25.4	21.87	NA	NA	0	1.04
contig_21280	66944	NA	88418.79978201856	75.71240524078476	low	32.8837114381832	244	CheckV-044786	23.9	3.78	63.96911196552278	100.0	4	1.03
contig_21464	50872	NA	85385.29861865591	59.57934307544242	low	32.8837114381832	13	CheckV-061408	26.6	3.77	87.34381488425045	95.80629189723295	4	1.0
contig_21524	8470	NA	6217.688457389429	100.0	low	29.1891156069426	5	CheckV-010112	32.0	10.66	78.97	100.0	1	1.0
contig_21604	58966	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.02
contig_21711	16412	NA	30269.092426368945	54.220324048112765	low	10.7714140835319	8	CheckV-013026	88.6	14.53	28.41457937696773	47.90782016896785	10	1.0
contig_21829	40842	NA	60662.57367537122	67.32652033288475	low	34.9257320695997	817	CheckV-032913	36.6	5.08	NA	NA	0	1.0
contig_21916	11905	NA	35740.121907290304	33.30990316955692	low	31.599535415135	623	CheckV-058140	96.9	8.37	24.549427673037165	35.11740377656892	9	1.0
contig_22015	2834	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_22041	18022	NA	160470.40811115745	11.230731081282105	low	22.3998188181985	146	CheckV-048945	53.4	5.92	8.73253094757466	13.573629968929621	13	1.0
contig_22098	17690	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	4.03
contig_2215	6221	NA	7939.716682681647	78.35292175562681	low	16.354663036079	28	CheckV-006118	38.1	19.58	58.0	100.0	1	1.07
contig_22261	40153	NA	270700.08651251614	14.833020749013864	low	17.7366586216144	2	CheckV-019952	36.6	11.97	NA	NA	0	1.02
contig_22335	13265	NA	57435.32535306173	23.095542540167532	low	29.1891156069426	158	CheckV-029957	31.0	9.77	9.13	34.7	1	1.0
contig_22351	29518	NA	86731.71733616396	34.03368560729752	low	14.2746572313136	313	CheckV-057480	59.3	7.91	27.45527605055646	90.02195073282039	6	1.0
contig_22365	3974	NA	110474.67042018067	3.5972046668120767	low	12.2245323052055	13	CheckV-059738	24.7	53.54	NA	NA	0	1.0
contig_22368	23073	NA	6932.349225268175	100.0	low	28.6374455909989	2	CheckV-008329	30.8	3.65	100.0	100.0	1	1.24
contig_22443	12998	NA	27661.0	46.99034742055602	low	11.4453806865935	1	CheckV-019952	34.6	37.03	NA	NA	0	1.01
contig_22467	78302	NA	102272.41965296165	76.56218584218517	low	35.9439843853632	875	CheckV-004955	37.7	5.09	96.94178428761651	100.0	2	1.0
contig_22475	58666	NA	58993.209045947675	99.44534455534904	low	33.4305729197674	2	CheckV-016041	30.5	5.26	56.402979012739706	100.0	5	1.02
contig_22583	6640	NA	99724.47486906301	6.658345414922703	medium	9.11498034181176	6	CheckV-000253	27.6	68.16	NA	NA	0	1.0
contig_22754	55611	NA	186898.34934931083	29.75467691052942	low	17.7366586216144	253	CheckV-056356	35.4	7.92	24.33283118595059	39.116484404761756	31	1.0
contig_22772	11346	NA	136590.84579315124	8.306559589785406	low	20.3878139483986	34	CheckV-056656	49.0	8.82	4.981425072350062	11.110639285831384	8	1.01
contig_22904	11706	NA	161581.60496597207	7.244636542919102	low	26.9204150716114	28	CheckV-060049	39.6	11.65	5.11	12.58	1	1.0
contig_22941	10215	NA	157344.01656196322	6.49214391700574	low	22.555739773824	59	CheckV-059003	32.4	21.65	NA	NA	0	1.0
contig_22942	22816	NA	41920.35056007741	54.427025764733656	low	31.6107195198548	62	CheckV-031432	24.0	6.87	43.077808433386956	77.98517204711091	5	1.0
contig_23137	21738	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.2
contig_23139	22588	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.31
contig_23146	23164	NA	117213.22205909823	19.762275614538474	low	14.2746572313136	489	CheckV-007573	58.2	11.76	NA	NA	0	1.0
contig_23185	124026	NA	58602.85418848795	100.0	low	34.5701557787554	206	CheckV-007448	45.4	2.0	47.731428571428566	100.0	2	1.0
contig_2328	136028	NA	75137.57742010067	100.0	low	35.9439843853632	740	CheckV-021518	42.5	1.38	NA	NA	0	1.03
contig_23292	13850	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.07
contig_23303	2601	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_23341	13541	NA	27660.999999999996	48.953400093995164	low	22.555739773824	1	CheckV-019952	29.9	18.68	NA	NA	0	1.09
contig_23407	32274	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	5.09
contig_23471	19714	NA	32968.10847794179	59.797182520162444	low	10.8174014826375	605	CheckV-003189	49.7	13.07	39.818435554243784	65.40168015021409	8	1.0
contig_2348	114600	NA	43921.78037520073	100.0	low	34.9257320695997	613	CheckV-032588	34.0	2.31	97.74134181428707	99.4703286146177	19	1.11
contig_23574	17175	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.12
contig_23577	2805	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_23588	3566	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.01
contig_23630	9674	NA	82809.18482524858	11.682278989238872	low	27.4561384438116	9	CheckV-002571	33.3	10.56	NA	NA	0	1.0
contig_23650	9607	NA	136409.0988760938	7.042785326751881	low	25.5595308871383	62	CheckV-005415	27.8	14.37	NA	NA	0	1.0
contig_23712	23894	18936	38473.644744500205	49.218107943118376	low	27.4427620025844	38	CheckV-026464	34.2	5.83	35.06281105976617	52.863672316109785	8	1.0
contig_23823	24660	NA	79491.83424484188	31.022054320755785	low	14.353007412968	19	CheckV-002409	36.9	13.02	38.07	75.05	1	1.05
contig_23927	22554	NA	47283.68651661323	47.699326472938196	low	18.7775133222402	20	CheckV-057970	67.8	9.41	28.305525511412515	54.526813754041285	6	1.0
contig_23934	12483	NA	49980.173718297265	24.97590358600553	low	14.6579797588075	277	CheckV-017404	50.0	15.61	14.804760774976243	33.857657165733	7	1.0
contig_23943	29601	NA	40047.75713660836	73.91425167463674	low	19.215906818237	20	CheckV-057957	81.8	7.8	17.034394308299323	64.72711631770827	13	1.0
contig_2415	2745	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_24215	37169	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.01
contig_24248	45614	NA	62033.27642900264	73.53150216433502	low	32.8837114381832	87	CheckV-044197	24.4	5.52	68.24	100.0	1	1.1
contig_243	119294	NA	167618.01132227213	71.17015591518887	low	33.4305729197674	56	CheckV-058400	27.7	2.58	NA	NA	0	1.02
contig_24416	6290	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.51
contig_24422	8657	NA	6523.263207258505	100.0	low	17.7188662440404	10	CheckV-005847	32.3	25.43	80.71	100.0	1	1.0
contig_24580	8878	NA	116368.93336480507	7.629183961125046	low	15.7472323702244	116	CheckV-000758	37.9	19.62	NA	NA	0	1.0
contig_24591	12100	NA	49484.16687771903	24.452265772000302	medium	8.12710242975227	79	CheckV-006558	41.1	44.45	15.117147603870377	36.81875166488451	4	1.0
contig_24681	30428	NA	53234.64702279876	57.15826384078141	low	28.6374455909989	9	CheckV-014310	28.3	5.18	NA	NA	0	1.0
contig_24700	12183	NA	38438.661325981775	31.694652154197595	low	14.6579797588075	206	CheckV-000079	51.0	12.78	22.019064142547446	37.36589591919003	6	1.0
contig_24722	13267	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	2.31
contig_24733	12299	NA	265999.2717311993	4.62369686952697	low	11.1417515456122	79	CheckV-046216	61.9	13.23	6.53	27.58	1	1.01
contig_24960	16530	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.27
contig_2525	9926	NA	82009.13960215896	12.103529006831197	low	37.7921073948101	20	CheckV-007424	83.5	19.9	5.505322195704056	8.288591885441527	2	1.0
contig_25335	10140	NA	5893.096545679843	100.0	low	12.5453716678203	45	CheckV-010083	31.2	32.36	33.80543674698795	100.0	2	1.0
contig_25365	11150	NA	39014.28389182849	28.579276325857048	low	29.17924392698	46	CheckV-012365	26.9	16.81	12.453925646650413	42.706069860688196	4	1.0
contig_25377	27598	NA	65111.373772096435	42.38583583967807	low	26.8672114679771	52	CheckV-031131	38.9	5.17	NA	NA	0	1.0
contig_25379	4025	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_25447	29308	NA	37302.5390357578	78.56837833989177	low	17.6215217642305	6	CheckV-059738	42.9	8.44	NA	NA	0	1.03
contig_25574	5958	NA	44586.7614972765	13.36271081353135	medium	6.24206248412497	12	CheckV-003270	61.8	39.05	2.55	15.59	1	1.02
contig_25624	14270	NA	44464.102636512114	32.09330483211429	low	17.1008155064413	15	CheckV-057992	74.4	4.04	6.13	26.199999999999996	1	1.0
contig_25657	11837	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.01
contig_25693	24987	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.19
contig_25760	11663	NA	40804.527158482364	28.582612793677523	low	25.5595308871383	15	CheckV-042325	28.0	13.17	15.952390767655006	42.48049722392562	7	1.0
contig_25886	13193	NA	NA	NA	NA	NA	0	NA	NA	NA	31.39	88.36	1	1.0
contig_25891	24085	NA	57031.68081387348	42.230913864528965	low	19.919469608367	836	CheckV-058207	35.3	10.49	31.688504991105876	59.317096007353804	10	1.0
contig_25952	18015	NA	7478.067149734477	100.0	low	24.0809313623841	2	CheckV-008329	27.7	9.45	100.0	100.0	1	1.0
contig_26025	25991	NA	54234.75124211855	47.9231478060426	low	24.0809313623841	44	CheckV-016041	29.9	9.65	38.88	85.25	1	1.0
contig_26127	24795	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.41
contig_26144	20811	12779	70914.90065918816	18.020190229716235	low	26.8672114679771	3	CheckV-008395	38.4	6.48	19.085145888594162	29.484005305039787	2	1.87
contig_26222	49173	NA	73897.5998679951	66.54207996990269	low	33.4305729197674	110	CheckV-001560	30.9	3.31	53.19220918820031	89.65585422442146	7	1.0
contig_26304	10731	NA	139122.2698740173	7.713358910631272	low	23.5973739108457	95	CheckV-032619	43.2	9.81	9.697902097902098	26.724545454545456	2	1.0
contig_26315	34350	NA	187940.76329190604	18.277035486254906	low	19.215906818237	70	CheckV-015755	80.9	8.51	14.95818737619836	24.600558799737286	13	1.0
contig_26341	12762	NA	42837.82484613476	29.79142859339533	low	27.4561384438116	214	CheckV-036656	34.5	10.61	22.049902000816655	41.212070232748054	3	1.45
contig_26432	22437	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.01
contig_26463	26708	NA	44353.39751608389	60.21635657181587	low	19.919469608367	433	CheckV-029827	34.0	9.99	35.84910437393774	74.5254317154493	20	1.0
contig_26471	45830	NA	187780.79022191852	24.40611733811446	low	30.1053876760942	111	CheckV-059243	62.2	6.11	20.90432009704161	38.70408676660411	31	1.0
contig_26582	8126	NA	5933.0	100.0	low	26.7589582006503	1	CheckV-010165	34.8	4.65	75.76	100.0	1	1.0
contig_26679	9407	NA	6102.818096143724	100.0	low	15.7472323702244	56	CheckV-028209	39.7	21.69	31.359608433734937	100.0	2	1.0
contig_26681	5148	NA	4826.533400458637	100.0	low	11.6380162023316	18	CheckV-005326	42.6	31.98	47.99	100.0	1	1.0
contig_26740	36536	NA	82498.2495807484	44.28700025233743	low	26.0831970943911	93	CheckV-001237	27.7	7.99	NA	NA	0	1.02
contig_26749	49093	NA	75887.25476251534	64.69202259804183	low	33.4305729197674	31	CheckV-041425	29.7	3.98	30.640265654648953	100.00000000000001	2	1.0
contig_26763	18750	NA	6648.0202552492465	100.0	low	13.6499940552004	102	CheckV-004977	40.0	16.36	100.0	100.0	1	1.0
contig_26772	14806	NA	58600.28700877935	25.26608785684241	low	12.3244307299425	34	CheckV-035642	57.1	15.13	NA	NA	0	1.0
contig_26823	40224	NA	110097.4197052643	36.53491617485808	low	34.9257320695997	82	CheckV-058400	36.3	5.96	NA	NA	0	1.0
contig_26844	18760	NA	50245.81261617478	37.33644461739865	low	19.919469608367	145	CheckV-056576	35.9	9.66	27.724330440956567	51.45689747576205	6	1.0
contig_26949	17908	NA	58404.24084243471	30.662156962733096	low	12.0387100725814	27	CheckV-018896	33.1	18.76	NA	NA	0	1.0
contig_27043	22582	NA	49681.68120129793	45.45337326348378	low	22.3998188181985	2	CheckV-021937	56.4	6.3	NA	NA	0	1.01
contig_27046	14670	NA	52484.22853859787	27.951253945195006	low	29.17924392698	612	CheckV-032493	25.4	17.01	20.343181471261666	42.637975694240595	3	1.0
contig_27051	2843	NA	93837.0	3.0297217515478967	low	12.8819520773796	1	CheckV-008630	46.2	10.98	NA	NA	0	1.0
contig_27052	17783	NA	43782.0	40.61714859988123	low	27.4427620025844	1	CheckV-014761	36.7	4.56	22.251230342613198	44.153089502681794	3	1.0
contig_27064	27169	NA	85047.26180962601	31.945766885260138	low	27.441312952095	75	CheckV-023650	26.9	8.36	NA	NA	0	1.0
contig_27084	15826	NA	71324.02899449355	22.188875506769	low	13.3626373626374	29	CheckV-002746	31.4	22.35	6.056160714285714	17.85705357142857	2	1.0
contig_27150	23851	NA	38992.16601680521	61.16869729606832	low	14.0027581941034	48	CheckV-058167	94.1	13.72	32.902358314709474	67.14850587328259	18	1.0
contig_27171	13554	NA	91838.21553999648	14.758562021598834	low	22.555739773824	132	CheckV-038784	28.3	20.64	NA	NA	0	1.0
contig_27291	14369	NA	151354.33507419357	9.493616415384698	low	23.5973739108457	157	CheckV-042948	47.2	11.06	6.698218027144655	15.009405330321593	6	1.0
contig_27358	9102	NA	57825.73942951293	15.740395349539705	low	11.8293142109682	2	CheckV-019275	29.0	39.48	NA	NA	0	1.28
contig_27397	23898	NA	56306.66244967065	42.44257954617906	low	24.0809313623841	45	CheckV-000213	32.5	7.57	34.15084741412469	68.9067827859897	4	1.0
contig_27498	12800	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.02
contig_27610	12725	NA	114505.46498057489	11.113006704229107	low	17.48999801379	439	CheckV-008173	56.2	9.47	4.18	22.29	1	1.0
contig_27705	12719	NA	64580.6825323663	19.694743847938646	low	17.7188662440404	4	CheckV-040231	27.9	23.41	11.29	39.79	1	1.0
contig_27723	26912	NA	223989.2391065261	12.014862904731345	medium	8.40707262595249	13	CheckV-015755	35.2	37.42	11.87529333403504	20.11842621931025	9	1.0
contig_27768	19006	NA	55481.06971449222	34.25672954361844	low	27.4427620025844	4	CheckV-032851	34.1	5.68	NA	NA	0	1.0
contig_27833	17205	NA	6728.0818984835505	100.0	low	11.4429041549327	34	CheckV-009608	39.4	18.15	38.52524096385542	100.0	2	1.03
contig_27873	13020	NA	55158.862819476395	23.604547545898072	low	29.1891156069426	21	CheckV-002784	30.9	9.71	24.516263736263735	51.86241758241758	2	1.01
contig_27962	14332	NA	69937.27185631798	20.492649512329066	low	25.5595308871383	51	CheckV-008342	28.3	16.2	14.532813559322035	39.5834011299435	2	1.0
contig_28036	9168	NA	92421.03013787267	9.919820181968626	low	29.17924392698	4	CheckV-009007	27.3	12.67	11.42	23.649999999999995	1	1.0
contig_28177	34693	NA	68508.84110964191	50.64017933755023	low	25.0168993387215	582	CheckV-018990	47.0	4.55	31.000944591462932	65.38153449085165	9	1.0
contig_28216	10210	NA	57025.04749899465	17.904412969020328	low	20.6566983698812	25	CheckV-019638	36.1	16.53	15.270000000000001	33.49	1	1.02
contig_28416	10448	NA	34818.71123482492	30.006854445405597	low	29.17924392698	4	CheckV-009322	25.7	15.7	9.694503214451927	33.889547102817595	6	1.0
contig_28550	15452	NA	7128.575975033171	100.0	low	16.7308326916731	28	CheckV-005462	30.7	14.62	100.0	100.0	1	1.01
contig_28753	19304	NA	129511.05925948055	14.905290799393176	medium	6.55769092693201	139	CheckV-040706	83.5	13.23	10.973282715391916	25.72636860535525	6	1.0
contig_28758	6646	NA	95628.35649405378	6.949821416635192	low	21.7847867931505	2	CheckV-002078	20.3	52.27	NA	NA	0	1.0
contig_28784	20468	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.77
contig_28848	28191	NA	73740.60959987728	38.22995246847935	low	28.6374455909989	132	CheckV-009003	32.5	6.56	29.203150941618617	80.94153978958443	4	1.01
