### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
contig_10002,rafah,Hyphomonas,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas,Confidence_score,0.115,FDR,0.894,2,NA
contig_10002,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.097,FDR,0.913,3,NA
contig_10002,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.097,FDR,0.913,3,NA
contig_10002,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Parasynechococcus,Confidence_score,0.072,FDR,0.939,4,NA
contig_10002,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C,Confidence_score,0.072,FDR,0.939,4,NA
contig_10002,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D,Confidence_score,0.072,FDR,0.939,4,NA
contig_10002,vhm,GCA_002689925.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__GCA-2689925;s__GCA-2689925 sp002689925,S2star_similarity,0.417,NA,NA,1,GB_GCA_002689925.1
contig_10002,vhm,GCA_030673965.1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp030673965,S2star_similarity,0.414,NA,NA,2,GB_GCA_030673965.1
contig_10002,vhm,GCA_002724835.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp002724835,S2star_similarity,0.410,NA,NA,3,GB_GCA_002724835.1
contig_10002,vhm,MGYG000440394,NA,S2star_similarity,0.409,NA,NA,4,NA
contig_10002,vhm,GCA_002171845.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__MED-G40;s__MED-G40 sp002171845,S2star_similarity,0.409,NA,NA,5,GB_GCA_002171845.1
contig_10002,wish,GCA_937929885.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__CALFUQ01;s__CALFUQ01 sp937929885,Log-likelihood,-1.350,p-value,0.1050118469869452,1,GB_GCA_937929885.1
contig_10002,wish,GCA_037968395.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADKBO01;s__JADKBO01 sp037968395,Log-likelihood,-1.351,p-value,0.1231102302835722,2,GB_GCA_037968395.1
contig_10002,wish,3300027758_7,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__JABXKX01;s__,Log-likelihood,-1.351,p-value,0.1356956590858845,3,3300027758_7
contig_10002,wish,GCA_963975265.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__CAJXUU01;s__CAJXUU01 sp963975265,Log-likelihood,-1.352,p-value,0.1275956704905904,4,GB_GCA_963975265.1
contig_10002,wish,GCA_023444055.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__DSM-27016;g__Ruminiclostridium;s__Ruminiclostridium sp023444055,Log-likelihood,-1.352,p-value,0.1331615316499263,5,GB_GCA_023444055.1
contig_10003,blast,GCF_000158595.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_A,Match_length,1050.000,Id_pcent,86.95,1,RS_GCF_000018065.1
contig_10003,blast,GCA_003280725.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003280725,Match_length,1050.000,Id_pcent,86.86,2,GB_GCA_003280725.1
contig_10003,blast,GCA_003216755.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003216755,Match_length,1051.000,Id_pcent,86.77,3,GB_GCA_003216755.1
contig_10003,blast,GCA_003209475.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003209475,Match_length,1050.000,Id_pcent,86.76,4,GB_GCA_003209475.1
contig_10003,blast,GCF_000018065.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_A,Match_length,1051.000,Id_pcent,86.68,5,RS_GCF_000018065.1
contig_10003,crispr,GCF_030913655.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_H;s__Clostridium_H sp030913655,N_mismatches,4.000,Spacer_length,36.0,1,RS_GCF_030913655.1
contig_10003,iPHoP-RF,GB_GCA_003216755.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003216755,Confidence_score,0.790,FDR,0.314,1,GB_GCA_003216755.1
contig_10003,iPHoP-RF,GB_GCA_003280725.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003280725,Confidence_score,0.782,FDR,0.323,2,GB_GCA_003280725.1
contig_10003,iPHoP-RF,RS_GCF_000018065.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_A,Confidence_score,0.712,FDR,0.413,3,RS_GCF_000018065.1
contig_10003,iPHoP-RF,GB_GCA_902572075.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp902572075,Confidence_score,0.670,FDR,0.47,4,GB_GCA_902572075.1
contig_10003,iPHoP-RF,GB_GCA_017644375.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_AH,Confidence_score,0.634,FDR,0.516,5,GB_GCA_017644375.1
contig_10003,php,3300035698_1483,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__JAACPR01;g__;s__,Score,1449.080,NA,NA,1,3300035698_1483
contig_10003,php,GCA_023251795.1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__UBA8516;s__UBA8516 sp023251795,Score,1449.060,NA,NA,2,GB_GCA_023251795.1
contig_10003,php,3300035034_506,d__Bacteria;p__Bacteroidota_A;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Balneola;s__,Score,1448.692,NA,NA,3,3300035034_506
contig_10003,php,GCA_900197625.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp900197625,Score,1448.422,NA,NA,4,GB_GCA_900197625.1
contig_10003,php,GCA_937929885.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__CALFUQ01;s__CALFUQ01 sp937929885,Score,1448.136,NA,NA,5,GB_GCA_937929885.1
contig_10003,rafah,Prochlorococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A,Confidence_score,0.390,FDR,0.348,1,NA
contig_10003,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Parasynechococcus,Confidence_score,0.168,FDR,0.829,2,NA
contig_10003,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C,Confidence_score,0.168,FDR,0.829,2,NA
contig_10003,rafah,Synechococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D,Confidence_score,0.168,FDR,0.829,2,NA
contig_10003,rafah,Nostoc,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc,Confidence_score,0.055,FDR,0.956,3,NA
contig_10003,vhm,3300027730_44,d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__JAACPR01;g__JACKFZ01;s__,S2star_similarity,0.633,NA,NA,1,3300027730_44
contig_10003,vhm,GCA_002724835.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp002724835,S2star_similarity,0.604,NA,NA,2,GB_GCA_002724835.1
contig_10003,vhm,GCA_034176765.1,d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__SUG2458;s__SUG2458 sp034176765,S2star_similarity,0.602,NA,NA,3,GB_GCA_034176765.1
contig_10003,vhm,GCA_002689925.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__GCA-2689925;s__GCA-2689925 sp002689925,S2star_similarity,0.596,NA,NA,4,GB_GCA_002689925.1
contig_10003,vhm,GCA_900555985.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella sp900555985,S2star_similarity,0.595,NA,NA,5,GB_GCA_900555985.1
contig_10003,wish,GCF_012641475.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Flammeovirgaceae;g__Flammeovirga;s__Flammeovirga agarivorans,Log-likelihood,-1.341,p-value,0.1049117916457202,1,RS_GCF_012641475.1
contig_10003,wish,3300027758_7,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__JABXKX01;s__,Log-likelihood,-1.343,p-value,0.105361518758459,2,3300027758_7
contig_10003,wish,GCF_036985595.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Vallitaleaceae;g__Vallitalea;s__Vallitalea sp036985595,Log-likelihood,-1.344,p-value,0.090452651148051,3,RS_GCF_036985595.1
contig_10003,wish,GCA_016840095.1,d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__UBA460 sp016840095,Log-likelihood,-1.345,p-value,0.0741463601553882,4,GB_GCA_016840095.1
contig_10003,wish,3300027980_15,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__JABXKX01;s__,Log-likelihood,-1.345,p-value,0.1052670433159578,5,3300027980_15
contig_10172,blast,GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Match_length,3247.000,Id_pcent,85.06,1,GB_GCA_022827055.1
contig_10172,blast,GCA_012267605.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAAXGF01;f__JAAXGF01;g__JAAXGF01;s__JAAXGF01 sp012267605,Match_length,2672.000,Id_pcent,84.73,2,GB_GCA_012267605.1
contig_10172,blast,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Match_length,2578.000,Id_pcent,84.83,3,GB_GCA_963667245.1
contig_10172,blast,GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Match_length,2196.000,Id_pcent,84.43,4,GB_GCA_028820655.1
contig_10172,blast,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Match_length,1749.000,Id_pcent,88.05,5,GB_GCA_963667245.1
contig_10172,iPHoP-RF,GB_GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Confidence_score,0.868,FDR,0.227,1,GB_GCA_022827055.1
contig_10172,iPHoP-RF,GB_GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Confidence_score,0.812,FDR,0.289,2,GB_GCA_963667245.1
contig_10172,iPHoP-RF,GB_GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Confidence_score,0.780,FDR,0.325,3,GB_GCA_028820655.1
contig_10172,iPHoP-RF,GB_GCA_028819845.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPPKS01;s__JAPPKS01 sp028819845,Confidence_score,0.514,FDR,0.655,4,GB_GCA_028819845.1
contig_10172,iPHoP-RF,GB_GCA_027296925.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPUIP01;s__JAPUIP01 sp027296925,Confidence_score,0.462,FDR,0.71,5,GB_GCA_027296925.1
contig_10172,php,GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Score,1438.117,NA,NA,1,GB_GCA_028820655.1
contig_10172,php,GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Score,1436.545,NA,NA,2,GB_GCA_022827055.1
contig_10172,php,GCF_022674245.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__Alicyclobacillus acidoterrestris,Score,1435.348,NA,NA,3,RS_GCF_022674245.1
contig_10172,php,GCF_017329615.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__Alicyclobacillus suci,Score,1434.535,NA,NA,4,RS_GCF_017329615.1
contig_10172,php,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Score,1433.666,NA,NA,5,GB_GCA_963667245.1
contig_10172,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,Confidence_score,0.257,FDR,0.663,1,NA
contig_10172,rafah,Pseudomonas,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,Confidence_score,0.257,FDR,0.663,1,NA
contig_10172,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,Confidence_score,0.147,FDR,0.857,2,NA
contig_10172,rafah,Haemophilus,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D,Confidence_score,0.147,FDR,0.857,2,NA
contig_10172,rafah,Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Confidence_score,0.145,FDR,0.859,3,NA
contig_10172,vhm,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,S2star_similarity,0.432,NA,NA,1,GB_GCA_963667245.1
contig_10172,vhm,GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,S2star_similarity,0.422,NA,NA,2,GB_GCA_022827055.1
contig_10172,vhm,GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,S2star_similarity,0.416,NA,NA,3,GB_GCA_028820655.1
contig_10172,vhm,GCA_028819845.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPPKS01;s__JAPPKS01 sp028819845,S2star_similarity,0.373,NA,NA,4,GB_GCA_028819845.1
contig_10172,vhm,GCA_963667895.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPPKS01;s__JAPPKS01 sp963667895,S2star_similarity,0.362,NA,NA,5,GB_GCA_963667895.1
contig_10172,wish,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Log-likelihood,-1.354,p-value,0.0004320005551673,1,GB_GCA_963667245.1
contig_10172,wish,GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Log-likelihood,-1.364,p-value,0.0018913473659589,2,GB_GCA_022827055.1
contig_10172,wish,GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Log-likelihood,-1.366,p-value,0.0094182393822948,3,GB_GCA_028820655.1
contig_10172,wish,GCA_028819845.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPPKS01;s__JAPPKS01 sp028819845,Log-likelihood,-1.376,p-value,0.018995366827217,4,GB_GCA_028819845.1
contig_10172,wish,GCF_017329615.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus;s__Alicyclobacillus suci,Log-likelihood,-1.380,p-value,0.0732153417283822,5,RS_GCF_017329615.1
contig_10173|provirus_3_63280,blast,GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Match_length,6775.000,Id_pcent,84.52,1,GB_GCA_022827055.1
contig_10173|provirus_3_63280,blast,GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Match_length,6073.000,Id_pcent,83.76,2,GB_GCA_028820655.1
contig_10173|provirus_3_63280,blast,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Match_length,4044.000,Id_pcent,95.5,3,GB_GCA_963667245.1
contig_10173|provirus_3_63280,blast,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Match_length,1860.000,Id_pcent,96.56,4,GB_GCA_963667245.1
contig_10173|provirus_3_63280,blast,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Match_length,1529.000,Id_pcent,90.39,5,GB_GCA_963667245.1
contig_10173|provirus_3_63280,crispr,GCF_039544935.1,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus caeni,N_mismatches,2.000,Spacer_length,32.0,1,RS_GCF_039544935.1
contig_10173|provirus_3_63280,crispr,GCF_028595345.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paucibacter_A;s__Paucibacter_A albus,N_mismatches,3.000,Spacer_length,25.0,2,RS_GCF_028595345.1
contig_10173|provirus_3_63280,crispr,MGYG000058138,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,N_mismatches,3.000,Spacer_length,30.0,2,RS_GCF_025147485.1
contig_10173|provirus_3_63280,crispr,GCF_000224065.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Imhoffiella;s__Imhoffiella drewsii,N_mismatches,4.000,Spacer_length,32.0,3,RS_GCF_000224065.1
contig_10173|provirus_3_63280,crispr,GCA_009776495.1,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanorudis;s__Methanorudis sp009776495,N_mismatches,4.000,Spacer_length,31.0,3,GB_GCA_009776495.1
contig_10173|provirus_3_63280,iPHoP-RF,GB_GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Confidence_score,0.808,FDR,0.294,1,GB_GCA_963667245.1
contig_10173|provirus_3_63280,iPHoP-RF,GB_GCA_022827055.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp022827055,Confidence_score,0.748,FDR,0.365,2,GB_GCA_022827055.1
contig_10173|provirus_3_63280,iPHoP-RF,GB_GCA_028820655.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp028820655,Confidence_score,0.672,FDR,0.467,3,GB_GCA_028820655.1
contig_10173|provirus_3_63280,iPHoP-RF,GB_GCA_022567695.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JADFGN01;s__JADFGN01 sp022567695,Confidence_score,0.164,FDR,0.922,4,GB_GCA_022567695.1
contig_10173|provirus_3_63280,iPHoP-RF,GB_GCA_027296925.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__PCPOR2b;g__JAPUIP01;s__JAPUIP01 sp027296925,Confidence_score,0.122,FDR,0.942,5,GB_GCA_027296925.1
contig_10173|provirus_3_63280,php,GCA_963667245.1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__JAJDTR01;g__JAJDTR01;s__JAJDTR01 sp963667245,Score,1432.873,NA,NA,1,GB_GCA_963667245.1
contig_10173|provirus_3_63280,php,GCA_020809425.1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Actomonas;s__Actomonas palmerolidica,Score,1431.489,NA,NA,2,GB_GCA_020809425.1
contig_10173|provirus_3_63280,php,GCA_003134435.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__QIAJ01 sp003134435,Score,1430.855,NA,NA,3,GB_GCA_003134435.1
